aX,aY,aZ,gX,gY,gZ
-2.7605,0.8705,-3.3491,-13.5498,240.9668,49.5605
-3.9999,3.0045,-4.0000,-13.9160,122.3755,48.0347
-3.9999,3.9642,-4.0000,-11.2915,-651.4892,-212.5244
-3.9913,1.9634,-1.0839,18.4937,-1041.2598,-446.7773
-3.7452,-1.0791,1.6511,15.6250,-1143.3716,-758.3618
-0.6432,-3.9999,3.9999,-70.6177,-1026.0010,-624.5728
1.0411,-3.9999,3.9999,-56.8848,-404.4189,45.1660
2.1331,-1.0957,3.1549,-57.3730,31.1279,186.6455
1.9824,-0.0867,1.7883,-25.5737,263.5498,61.8896
1.6139,-0.4282,0.4987,26.9165,161.2549,-4.1504
1.3590,-0.3657,0.4442,92.2851,109.9243,35.8887
0.7209,0.5444,-0.5668,86.8530,154.2969,60.2417
0.5708,0.7330,-1.1504,39.8560,151.7334,42.3584
0.6012,0.4863,-1.4299,7.0801,108.5205,30.7617
0.6263,0.2159,-1.3301,-66.2231,42.5415,31.6162
0.6201,-0.2574,-1.0835,-90.4541,26.3672,42.9077
0.6166,-0.3905,-0.8904,-109.0088,1.5259,74.7070
0.6344,-0.3748,-0.4332,-100.2197,-5.3711,88.6230
0.6553,-0.3258,-0.3094,-78.0640,8.3008,104.0039
0.6801,-0.3165,-0.4111,-73.1812,24.5972,110.0464
0.6646,-0.2540,-0.5398,-67.9932,49.4995,130.4321
0.5845,0.0625,-0.7455,-70.5566,54.2603,137.9395
0.5621,0.1787,-0.7926,-77.7588,51.0864,129.3335
0.5421,0.1694,-0.7067,-79.1016,48.5229,119.9951
0.5059,0.0736,-0.6859,-84.5337,63.0493,108.8867
0.3916,-0.1455,-0.8477,-87.7685,75.5615,110.7178
0.3461,-0.1799,-0.9648,-89.2944,85.3271,127.8076
0.2806,-0.0612,-1.0232,-89.1724,80.9326,137.1460
0.2567,0.0291,-0.9895,-83.3130,76.3550,142.1509
0.2043,0.1267,-0.9539,-79.0405,78.0640,138.2446
0.1853,0.1437,-0.9281,-66.4673,83.9844,128.4790
0.1503,0.1666,-0.8767,-54.6875,88.1958,122.9248
0.1191,0.1605,-0.8671,-30.2124,101.4404,107.5439
0.0145,0.0414,-0.9989,-20.4468,110.3516,100.5859
-0.0837,-0.0143,-1.1378,-12.4512,115.1123,99.3042
-0.0973,0.0261,-1.1180,-12.4512,109.4360,102.9663
-0.0740,0.1937,-1.0068,-4.8828,99.7314,104.4922
-0.0686,0.2509,-0.9773,5.5542,100.0366,98.8769
-0.0872,0.3424,-1.0398,32.3486,105.2856,83.6182
-0.1039,0.3995,-1.1174,42.7246,104.9194,76.4771
-0.1162,0.5225,-1.1261,52.1851,88.6841,61.9507
-0.1001,0.5117,-1.0316,48.2178,78.0640,53.1006
-0.0583,0.5048,-0.8633,29.5410,71.8384,44.6167
-0.0536,0.5372,-0.7994,24.1699,74.2188,43.6401
-0.0876,0.5170,-0.8665,18.6157,88.0737,35.7056
-0.1130,0.4719,-1.0035,11.1694,92.7734,27.7100
-0.1525,0.3560,-1.1234,0.6714,84.3506,27.4658
-0.1683,0.3400,-1.0754,-16.5405,64.5142,28.5645
-0.2029,0.2936,-1.0128,-18.5547,59.6313,25.5737
-0.2113,0.2244,-1.0157,-26.7944,51.4526,22.8882
-0.2329,0.2163,-0.8937,-35.2783,46.6309,28.0762
-0.2512,0.3027,-0.8066,-35.5835,45.6543,33.5083
-0.2809,0.4536,-0.6335,-27.5269,49.2554,29.9683
-0.3069,0.5051,-0.5492,-23.3765,67.3218,19.5313
-0.4392,0.5771,-0.5355,-33.8135,81.2988,13.7329
-0.5339,0.6266,-0.5876,-64.8193,103.1494,-4.2114
-0.7683,0.7169,-0.6711,-69.3970,108.3984,-21.7285
-0.9193,0.6758,-0.6641,-51.1475,114.9902,-71.4722
-1.3389,0.5405,-0.5530,-45.5322,123.0469,-89.2944
-1.6415,0.6481,-0.5530,-49.4385,158.8745,-100.4028
-2.5908,0.9916,-0.7258,-48.8281,179.0771,-114.1968
-3.2057,1.0298,-0.8551,-40.3442,199.0967,-173.2788
-3.9999,1.0857,-1.4659,-42.5415,191.5893,-203.0639
-3.9999,1.3196,-2.1736,-126.8310,71.4111,-293.0298
-3.9921,2.3495,-3.9475,-146.4844,-91.0644,-410.4614
-3.9838,2.8083,-4.0000,26.7334,-606.4453,-974.3041
-3.9999,-0.2076,-4.0000,142.6392,-856.6284,-1422.4242
-3.9999,-3.9999,-3.9379,160.0342,-1216.3086,-1999.9999
-3.9999,-3.9999,-2.7938,-207.7026,-1735.9618,-1520.0194
-3.9996,-3.9419,1.2936,-122.0093,-1798.7059,-864.8681
-3.9999,-3.9160,0.8422,423.5229,-1511.7186,-239.3799
-3.9999,-3.9999,3.0304,439.0869,-1565.8568,-262.8174
-3.9999,-3.9999,3.9999,294.5557,-1617.3705,-18.6768
-3.9979,-3.9996,3.9999,381.5307,-1300.4149,210.2051
-3.8506,-3.9908,3.9868,573.7305,-378.9673,435.8520
-2.7708,-2.8416,3.6057,588.9893,-147.2778,434.9365
-2.1482,-1.7405,2.7344,497.0092,-79.2236,306.1523
-1.0468,-0.9537,0.7885,401.4892,-89.5996,219.4214
-0.6185,-1.2909,0.4717,221.1304,-124.0845,113.5864
-0.1587,-1.5297,0.4542,164.6118,-127.0142,112.2436
