aX,aY,aZ,gX,gY,gZ
-1.8759,-2.3656,1.2880,-162.2314,-739.5629,-131.1646
-1.4821,-2.1813,2.0590,-174.8657,-680.9081,42.8467
-1.3002,-1.8621,2.1232,-144.8364,-621.8872,116.8213
-1.0881,-0.9825,1.9395,-54.8706,-502.6855,190.9790
-0.9855,-0.8356,1.8881,-27.5879,-417.5415,162.3535
-0.7922,-1.0200,1.7635,-42.8467,-380.7373,151.3062
-0.7400,-1.0299,1.7334,-60.9131,-322.3877,171.3867
-0.6627,-0.9443,1.7292,-56.7017,-294.7998,183.5327
-0.6183,-0.9229,1.6858,-23.9258,-243.5303,200.9888
-0.5237,-0.6693,1.6669,2.2583,-228.0884,210.2051
-0.4459,-0.4481,1.7518,34.9731,-207.5806,209.7168
-0.2704,-0.1243,1.9604,31.1279,-185.7300,194.3970
-0.1726,-0.0592,1.9679,1.6479,-113.7085,153.7476
-0.0754,-0.0250,1.7990,-11.4746,-77.6978,134.3384
-0.0717,0.0031,1.7211,-8.1177,-19.7144,94.4214
-0.0839,-0.1117,1.4585,-4.3335,7.2021,73.1201
-0.1101,-0.2012,1.2627,5.9814,40.5884,48.7671
-0.1110,-0.3049,1.0084,0.9155,41.4429,42.6636
-0.0778,-0.3546,0.9659,-14.7095,34.5459,34.3628
0.0079,-0.3977,0.9138,-16.8457,33.8745,33.2642
0.0498,-0.3899,0.8933,-19.7754,33.7524,31.1890
0.1138,-0.3568,0.8870,-23.3154,34.1187,27.6489
0.1320,-0.3556,0.8722,-27.6489,37.3535,16.4185
0.1559,-0.3811,0.8165,-28.3203,38.2080,10.8032
0.1697,-0.3993,0.8068,-31.9824,36.0718,2.8076
0.1943,-0.4165,0.8197,-35.1563,35.3394,0.7324
0.2043,-0.4119,0.8320,-34.9731,36.6211,-2.2583
0.2208,-0.4055,0.8387,-33.1421,38.2080,-4.0283
0.2269,-0.3849,0.8264,-25.7568,40.2832,-7.6904
0.2303,-0.3867,0.8151,-24.1699,40.4663,-10.3760
0.2340,-0.4214,0.7852,-24.7192,38.0859,-16.4795
0.2380,-0.4447,0.7693,-22.7051,35.7056,-18.6157
0.2528,-0.4457,0.7726,-20.9351,28.6255,-18.0664
0.2605,-0.4208,0.7917,-20.2026,21.4844,-16.2354
0.2780,-0.4221,0.8239,-20.9351,19.5313,-17.7612
0.2841,-0.4451,0.8419,-22.3389,17.7612,-19.8975
0.2709,-0.4382,0.8823,-20.5688,17.3340,-19.2871
0.2549,-0.4205,0.8982,-18.8599,18.0054,-20.4468
0.2157,-0.3889,0.9243,-20.9961,18.1885,-22.2168
0.1995,-0.3590,0.9440,-21.3623,17.0898,-26.4893
0.1769,-0.3197,0.9786,-21.1182,17.3340,-30.0903
0.1459,-0.2865,0.9896,-28.5645,17.5171,-36.4380
0.0007,0.0005,1.1592,-37.1704,14.8926,-39.8560
-0.0682,0.2023,1.3942,-78.1860,3.6621,-62.7441
-0.0203,0.3882,2.2747,-112.2436,5.4321,-84.2285
0.0226,0.3691,2.7711,-142.6392,80.5054,-140.5029
-0.1765,0.2245,3.1118,-100.7080,154.5410,-172.3022
-0.3777,0.0299,2.8638,-41.2598,311.2183,-228.3935
-0.7065,-0.4769,2.4774,-62.6831,365.7226,-245.7275
-0.8225,-0.8480,2.5681,-152.9541,455.2612,-264.7095
-1.1138,-1.5851,2.7378,-178.1616,511.0473,-262.2681
-1.3079,-1.7797,2.5676,-100.4639,633.4229,-225.6470
-1.7114,-1.5554,1.7302,-13.9160,687.6830,-196.3501
-1.8632,-1.2147,1.1583,145.7520,762.6953,-143.7988
-1.9415,-0.8977,-0.0675,178.2226,779.4189,-125.7934
-1.6322,-1.1910,-1.1445,127.3804,747.0092,-70.8618
-1.3831,-1.3763,-1.5355,66.9556,703.7963,-26.8555
-0.9359,-1.2024,-1.9546,0.7935,579.8950,77.4536
-0.7916,-0.7214,-2.0201,60.2417,438.9648,149.9634
-0.5814,0.0791,-2.1439,69.0308,376.4648,148.7427
-0.4833,0.2406,-2.2172,49.9268,252.5635,103.2715
-0.3323,0.3060,-2.1766,46.0205,189.4531,75.5005
-0.3016,0.2717,-2.1240,48.7061,81.1768,27.5879
-0.2839,0.1953,-2.0701,53.0395,34.2407,10.1318
-0.2952,0.2030,-2.0428,66.1011,-58.3496,-16.5405
-0.3123,0.2805,-1.8544,64.6973,-106.3232,-29.7241
-0.3174,0.2878,-1.6697,39.4897,-193.4814,-60.6689
-0.3564,0.1879,-1.4458,22.4609,-227.7832,-74.8291
-0.3922,0.1313,-1.4379,-5.8594,-295.5322,-93.0786
-0.5015,0.1385,-1.5161,-13.7939,-336.9140,-99.9756
-0.6110,0.1526,-1.5139,-41.2598,-450.0122,-127.6855
-1.0317,0.0192,-1.2638,-58.1665,-520.9351,-147.4609
-1.3597,-0.1180,-1.0631,-71.4722,-672.3632,-189.3921
-2.2264,-0.5641,-0.5518,-78.0029,-743.0419,-205.9326
-3.0076,-1.6272,0.6855,-159.3018,-872.3144,-206.6040
-2.9097,-2.3293,1.8873,-240.4175,-928.5888,-166.7480
-1.9457,-2.0062,3.9324,-263.1836,-888.0004,66.8335
-1.3853,-1.0781,3.9999,-70.0684,-595.7031,232.4219
-0.6053,-0.1592,3.3330,-13.4888,-466.5527,197.9980
-0.3954,-0.4170,3.0709,48.9502,-305.9692,75.0732
-0.2449,-0.9165,2.4620,68.9697,-244.6899,58.8379
-0.2445,-0.7753,2.1425,68.6035,-163.6352,82.3364
-0.1924,-0.4358,1.9290,48.5229,-142.1509,83.3130
-0.1193,-0.4231,1.9769,21.4233,-98.8769,66.8335
0.0250,-0.4409,1.9963,20.5078,-71.2891,62.6221
0.0664,-0.3760,1.9312,30.8838,-19.0430,60.1807
0.0613,-0.2313,1.7363,33.6914,2.9297,54.4434
0.0342,-0.2346,1.5953,27.7710,44.9829,31.9214
-0.0038,-0.2812,1.2991,24.9023,62.0728,22.4609
-0.0123,-0.2816,1.1831,13.7939,85.1440,6.2866
-0.0006,-0.3503,0.9781,5.9204,91.8579,-2.6855
0.0143,-0.4126,0.8835,-2.8687,96.1914,-15.0146
0.0466,-0.5297,0.7054,-4.6387,93.5059,-17.0898
0.0627,-0.5695,0.6403,-5.7373,82.7637,-15.3198
0.0964,-0.6029,0.5491,-6.2256,75.8057,-12.0850
0.1143,-0.5947,0.5243,-10.1318,57.9834,-5.3711
0.1559,-0.5577,0.5320,-11.4136,48.4619,-3.4790
0.2008,-0.5541,0.6001,-17.5171,31.3110,-2.3193
0.2233,-0.5492,0.6545,-19.6533,24.2310,-1.5259
0.2517,-0.5123,0.7501,-19.4092,16.2964,-0.6714
